id,name,artists,lyric
ba47655bd4bf8fb8c4889e731bfc0467,Vọng Nguyệt,"Hoàng Duyên, Hứa Kim Tuyền","Chờ anh cũng đã mấy thu rồi
 Lòng em cứ đứng không yên ngồi
 Dòng thư biên hết tâm can lòng
 Miền trong chàng có nhớ em không
 Một thương hai nhớ ba trông này
 Từng canh từng phút bao đêm ngày
 Hỏi trăng trăng có mấy hao gầy
 Mà sao trăng cứ khuyết lại đầy
 Xuân thì con gái có đâu dài
 Đâu chẳng thể mãi ngóng trông hoài
 Sao chàng đi mãi vẫn chưa về
 Em ngồi em hát mãi câu thề
 Đi thì đi nhớ về với em
 Về xem trăng với em
 Ha hà ha ha há ha hà
 Em ngồi em hát mãi câu thề
 Đêm thanh vắng thuyền duyên la đà
 Rượu say ngày thề nguyện đôi ta
 Trăng dưới nước là trăng trên trời
 Người trước mặt là người trong tim
 Chờ anh cũng đã mấy thu rồi
 Lòng em cứ đứng không yên ngồi
 Dòng thư biên hết tâm can lòng
 Miền trong chàng có nhớ em không
 Một thương hai nhớ ba trông này
 Từng canh từng phút bao đêm ngày
 Hỏi trăng trăng có mấy hao gầy
 Mà sao trăng cứ khuyết lại đầy
 Xuân thì con gái có đâu dài
 Đâu chẳng thể mãi ngóng trông hoài
 Sao chàng đi mãi vẫn chưa về
 Em ngồi em hát mãi câu thề
 Đi thì đi nhớ về với em
 Về xem trăng với em
 Ha hà ha ha há ha hà
 Em ngồi em hát mãi câu thề
 Đêm thanh vắng thuyền duyên la đà
 Rượu say ngày thề nguyện đôi ta
 Trăng dưới nước là trăng trên trời
 Người trước mặt là người trong timget_input"
57bb481f8fc33d42eed549146e890a5a,Nhạc Không Lời,Hòa Tấu ,"Ta gặp nhau trong lỡ làng
Cơn mưa đến sao vội vàng
Như đôi ta bên nhau.
Ta gặp nhau trong tình cờ
Không lời nói nhưng trao thật nhiều
Qua ánh mắt, qua nụ cười
sưởi ấm trái tim anh đã lạnh khô
 song ca : trần hoàng
 cafe.net :cuối tuần sauget_input"
